Time,function/execution_times.cloud_function.ALIGN_PERCENTILE_99.REDUCE_MEAN.metric.type="cloudfunctions.googleapis.com/function/execution_times" 
Tue Apr 27 2021 18:32:00 GMT-0500 (Central Daylight Time),21932051755.07954
Tue Apr 27 2021 18:33:00 GMT-0500 (Central Daylight Time),22213173840.231686
Tue Apr 27 2021 18:34:00 GMT-0500 (Central Daylight Time),21870279760.71944
Tue Apr 27 2021 18:35:00 GMT-0500 (Central Daylight Time),22340474224.364323
Tue Apr 27 2021 18:36:00 GMT-0500 (Central Daylight Time),21850610130.089233
Tue Apr 27 2021 18:37:00 GMT-0500 (Central Daylight Time),22949487502.966766
Tue Apr 27 2021 18:38:00 GMT-0500 (Central Daylight Time),1886119021.1710198
Tue Apr 27 2021 18:39:00 GMT-0500 (Central Daylight Time),21867330052.184425
Tue Apr 27 2021 18:40:00 GMT-0500 (Central Daylight Time),21873768418.923466
Tue Apr 27 2021 18:41:00 GMT-0500 (Central Daylight Time),1171908703.1244419
Tue Apr 27 2021 18:43:00 GMT-0500 (Central Daylight Time),22454005469.506947
Tue Apr 27 2021 18:44:00 GMT-0500 (Central Daylight Time),4782808244.526915
Tue Apr 27 2021 18:45:00 GMT-0500 (Central Daylight Time),694161623.1606517
Tue Apr 27 2021 18:46:00 GMT-0500 (Central Daylight Time),21854497309.03903
Tue Apr 27 2021 18:47:00 GMT-0500 (Central Daylight Time),22200451561.103374
Tue Apr 27 2021 18:48:00 GMT-0500 (Central Daylight Time),1464655352.6962805
Tue Apr 27 2021 18:49:00 GMT-0500 (Central Daylight Time),21900251929.688805
Tue Apr 27 2021 18:50:00 GMT-0500 (Central Daylight Time),22209549819.256195
Tue Apr 27 2021 18:51:00 GMT-0500 (Central Daylight Time),2694727559.9509172
Tue Apr 27 2021 18:52:00 GMT-0500 (Central Daylight Time),1511414147.8123198
Tue Apr 27 2021 18:53:00 GMT-0500 (Central Daylight Time),303673837.8120096
Tue Apr 27 2021 18:54:00 GMT-0500 (Central Daylight Time),1477128711.9538784
Tue Apr 27 2021 18:55:00 GMT-0500 (Central Daylight Time),893804735.1383718
Tue Apr 27 2021 18:56:00 GMT-0500 (Central Daylight Time),1419102530.2211657
Tue Apr 27 2021 18:57:00 GMT-0500 (Central Daylight Time),207654174.68672866
Tue Apr 27 2021 18:58:00 GMT-0500 (Central Daylight Time),21858159340.450363
Tue Apr 27 2021 18:59:00 GMT-0500 (Central Daylight Time),23224583575.19667
Tue Apr 27 2021 19:00:00 GMT-0500 (Central Daylight Time),921987478.0787404
Tue Apr 27 2021 19:01:00 GMT-0500 (Central Daylight Time),726245943.633692
Tue Apr 27 2021 19:02:00 GMT-0500 (Central Daylight Time),21892773323.325413
Tue Apr 27 2021 19:03:00 GMT-0500 (Central Daylight Time),22493397831.320522
Tue Apr 27 2021 19:04:00 GMT-0500 (Central Daylight Time),1559688917.629806
Tue Apr 27 2021 19:05:00 GMT-0500 (Central Daylight Time),1315411555.068478
Tue Apr 27 2021 19:06:00 GMT-0500 (Central Daylight Time),704996388.5455729
Tue Apr 27 2021 19:07:00 GMT-0500 (Central Daylight Time),22198238209.05879
Tue Apr 27 2021 19:08:00 GMT-0500 (Central Daylight Time),22289751322.53702
Tue Apr 27 2021 19:09:00 GMT-0500 (Central Daylight Time),22221600569.72858
Tue Apr 27 2021 19:10:00 GMT-0500 (Central Daylight Time),22479080517.01438
Tue Apr 27 2021 19:11:00 GMT-0500 (Central Daylight Time),1048658604.8727582
Tue Apr 27 2021 19:12:00 GMT-0500 (Central Daylight Time),22241842690.52636
Tue Apr 27 2021 19:13:00 GMT-0500 (Central Daylight Time),22207008645.96262
Tue Apr 27 2021 19:14:00 GMT-0500 (Central Daylight Time),2241528212.4875584
Tue Apr 27 2021 19:15:00 GMT-0500 (Central Daylight Time),786594613.6915848
Tue Apr 27 2021 19:16:00 GMT-0500 (Central Daylight Time),21876383690.876026
Tue Apr 27 2021 19:17:00 GMT-0500 (Central Daylight Time),22791389683.031185
Tue Apr 27 2021 19:18:00 GMT-0500 (Central Daylight Time),1827769078.6762743
Tue Apr 27 2021 19:19:00 GMT-0500 (Central Daylight Time),21885163831.01104
Tue Apr 27 2021 19:20:00 GMT-0500 (Central Daylight Time),22479121222.30288
Tue Apr 27 2021 19:21:00 GMT-0500 (Central Daylight Time),21860858405.063633
Tue Apr 27 2021 19:22:00 GMT-0500 (Central Daylight Time),21906920351.723537
Tue Apr 27 2021 19:23:00 GMT-0500 (Central Daylight Time),22421040283.943703
Tue Apr 27 2021 19:24:00 GMT-0500 (Central Daylight Time),22358237825.98125
Tue Apr 27 2021 19:25:00 GMT-0500 (Central Daylight Time),22544422640.56217
Tue Apr 27 2021 19:26:00 GMT-0500 (Central Daylight Time),1100919348.7880619
Tue Apr 27 2021 19:27:00 GMT-0500 (Central Daylight Time),1027576064.7749953
Tue Apr 27 2021 19:28:00 GMT-0500 (Central Daylight Time),762482072.56511
Tue Apr 27 2021 19:29:00 GMT-0500 (Central Daylight Time),21801559582.847164
Tue Apr 27 2021 19:30:00 GMT-0500 (Central Daylight Time),21879216218.534317
Tue Apr 27 2021 19:31:00 GMT-0500 (Central Daylight Time),22922410240.530735
Tue Apr 27 2021 19:32:00 GMT-0500 (Central Daylight Time),21870291144.160744
Tue Apr 27 2021 19:33:00 GMT-0500 (Central Daylight Time),22363588903.154797
Tue Apr 27 2021 19:34:00 GMT-0500 (Central Daylight Time),1067310959.7045066
Tue Apr 27 2021 19:35:00 GMT-0500 (Central Daylight Time),176547956.2008814
Tue Apr 27 2021 19:36:00 GMT-0500 (Central Daylight Time),21886232017.7568
Tue Apr 27 2021 19:37:00 GMT-0500 (Central Daylight Time),22381289379.45725
Tue Apr 27 2021 19:38:00 GMT-0500 (Central Daylight Time),802338709.0185261
Tue Apr 27 2021 19:39:00 GMT-0500 (Central Daylight Time),440589858.2791562
Tue Apr 27 2021 19:40:00 GMT-0500 (Central Daylight Time),247351185.52296573
Tue Apr 27 2021 19:41:00 GMT-0500 (Central Daylight Time),21956832192.872234
Tue Apr 27 2021 19:42:00 GMT-0500 (Central Daylight Time),23112132569.952328
Tue Apr 27 2021 19:43:00 GMT-0500 (Central Daylight Time),23324549467.64387
Tue Apr 27 2021 19:44:00 GMT-0500 (Central Daylight Time),22356318573.380627
Tue Apr 27 2021 19:45:00 GMT-0500 (Central Daylight Time),23697141123.21194
Tue Apr 27 2021 19:46:00 GMT-0500 (Central Daylight Time),1056171349.9084427
Tue Apr 27 2021 19:47:00 GMT-0500 (Central Daylight Time),22068965575.02053
Tue Apr 27 2021 19:48:00 GMT-0500 (Central Daylight Time),22196127548.79956
Tue Apr 27 2021 19:49:00 GMT-0500 (Central Daylight Time),21908334455.91579
Tue Apr 27 2021 19:50:00 GMT-0500 (Central Daylight Time),22433432473.655422
Tue Apr 27 2021 19:51:00 GMT-0500 (Central Daylight Time),774367924.6171386
Tue Apr 27 2021 19:52:00 GMT-0500 (Central Daylight Time),22362378014.196224
Tue Apr 27 2021 19:53:00 GMT-0500 (Central Daylight Time),22205738198.126465
Tue Apr 27 2021 19:54:00 GMT-0500 (Central Daylight Time),22460675569.89169
Tue Apr 27 2021 19:55:00 GMT-0500 (Central Daylight Time),21877786044.901093
Tue Apr 27 2021 19:56:00 GMT-0500 (Central Daylight Time),767594137.9006212
Tue Apr 27 2021 19:57:00 GMT-0500 (Central Daylight Time),22234687390.474148
Tue Apr 27 2021 19:58:00 GMT-0500 (Central Daylight Time),21869118212.39144
Tue Apr 27 2021 19:59:00 GMT-0500 (Central Daylight Time),21886823338.062977
Tue Apr 27 2021 20:00:00 GMT-0500 (Central Daylight Time),24463944495.205338
Tue Apr 27 2021 20:01:00 GMT-0500 (Central Daylight Time),21898897038.554325
Tue Apr 27 2021 20:02:00 GMT-0500 (Central Daylight Time),22226620628.113766
Tue Apr 27 2021 20:03:00 GMT-0500 (Central Daylight Time),780466277.0151186
Tue Apr 27 2021 20:04:00 GMT-0500 (Central Daylight Time),22255064717.83014
Tue Apr 27 2021 20:05:00 GMT-0500 (Central Daylight Time),23010236653.865448
Tue Apr 27 2021 20:06:00 GMT-0500 (Central Daylight Time),22209235730.402145
Tue Apr 27 2021 20:07:00 GMT-0500 (Central Daylight Time),21894301187.36701
Tue Apr 27 2021 20:08:00 GMT-0500 (Central Daylight Time),22653534512.071194
Tue Apr 27 2021 20:09:00 GMT-0500 (Central Daylight Time),22361996947.47085
Tue Apr 27 2021 20:10:00 GMT-0500 (Central Daylight Time),21886859795.414104
Tue Apr 27 2021 20:11:00 GMT-0500 (Central Daylight Time),22250204078.750256
Tue Apr 27 2021 20:12:00 GMT-0500 (Central Daylight Time),21879544458.30715
Tue Apr 27 2021 20:13:00 GMT-0500 (Central Daylight Time),23342579352.44238
Tue Apr 27 2021 20:14:00 GMT-0500 (Central Daylight Time),984355264.8935593
Tue Apr 27 2021 20:15:00 GMT-0500 (Central Daylight Time),240978012.52133173
Tue Apr 27 2021 20:16:00 GMT-0500 (Central Daylight Time),21858097493.665867
Tue Apr 27 2021 20:17:00 GMT-0500 (Central Daylight Time),22230068148.562355
Tue Apr 27 2021 20:18:00 GMT-0500 (Central Daylight Time),23672554319.953564
Tue Apr 27 2021 20:19:00 GMT-0500 (Central Daylight Time),22240113221.852894
Tue Apr 27 2021 20:20:00 GMT-0500 (Central Daylight Time),22244662383.044876
Tue Apr 27 2021 20:21:00 GMT-0500 (Central Daylight Time),268212196.80647445
Tue Apr 27 2021 20:22:00 GMT-0500 (Central Daylight Time),21887658350.972782
Tue Apr 27 2021 20:23:00 GMT-0500 (Central Daylight Time),21884643871.810616
Tue Apr 27 2021 20:24:00 GMT-0500 (Central Daylight Time),754808325.0172414
Tue Apr 27 2021 20:25:00 GMT-0500 (Central Daylight Time),244463280.2965337
Tue Apr 27 2021 20:26:00 GMT-0500 (Central Daylight Time),757819689.3905568
Tue Apr 27 2021 20:27:00 GMT-0500 (Central Daylight Time),742348065.3956301
Tue Apr 27 2021 20:28:00 GMT-0500 (Central Daylight Time),786250468.0205588
Tue Apr 27 2021 20:29:00 GMT-0500 (Central Daylight Time),247872527.98066664
Tue Apr 27 2021 20:30:00 GMT-0500 (Central Daylight Time),317844252.44991034
Tue Apr 27 2021 20:31:00 GMT-0500 (Central Daylight Time),765881485.1446533
Tue Apr 27 2021 20:32:00 GMT-0500 (Central Daylight Time),758866168.2529712
Tue Apr 27 2021 20:33:00 GMT-0500 (Central Daylight Time),336898916.71714056
Tue Apr 27 2021 20:34:00 GMT-0500 (Central Daylight Time),264577438.2579369
Tue Apr 27 2021 20:35:00 GMT-0500 (Central Daylight Time),249905021.4075061
Tue Apr 27 2021 20:36:00 GMT-0500 (Central Daylight Time),220969054.75590283
Tue Apr 27 2021 20:37:00 GMT-0500 (Central Daylight Time),65142883210.41
Tue Apr 27 2021 20:38:00 GMT-0500 (Central Daylight Time),23455693268.406948
Tue Apr 27 2021 20:39:00 GMT-0500 (Central Daylight Time),975366714.10209
Tue Apr 27 2021 20:40:00 GMT-0500 (Central Daylight Time),849232992.0361919
Tue Apr 27 2021 20:41:00 GMT-0500 (Central Daylight Time),243195366.537628
Tue Apr 27 2021 20:42:00 GMT-0500 (Central Daylight Time),65142883210.41
Tue Apr 27 2021 20:43:00 GMT-0500 (Central Daylight Time),23330299904.387222
Tue Apr 27 2021 20:44:00 GMT-0500 (Central Daylight Time),319436206.75382984
Tue Apr 27 2021 20:45:00 GMT-0500 (Central Daylight Time),783196397.9506054
Tue Apr 27 2021 20:46:00 GMT-0500 (Central Daylight Time),274509153.9694029
Tue Apr 27 2021 20:47:00 GMT-0500 (Central Daylight Time),313782399.3195782
Tue Apr 27 2021 20:48:00 GMT-0500 (Central Daylight Time),65142883210.41
Tue Apr 27 2021 20:49:00 GMT-0500 (Central Daylight Time),23364528163.934277
Tue Apr 27 2021 20:50:00 GMT-0500 (Central Daylight Time),976919036.3717242
Tue Apr 27 2021 20:51:00 GMT-0500 (Central Daylight Time),65142883210.41
Tue Apr 27 2021 20:52:00 GMT-0500 (Central Daylight Time),22797763856.724537
Tue Apr 27 2021 20:53:00 GMT-0500 (Central Daylight Time),339825917.76854324
Tue Apr 27 2021 20:54:00 GMT-0500 (Central Daylight Time),65142883210.41
Tue Apr 27 2021 20:55:00 GMT-0500 (Central Daylight Time),23638344320.467514
Tue Apr 27 2021 20:56:00 GMT-0500 (Central Daylight Time),1212621753.6187248
Tue Apr 27 2021 20:57:00 GMT-0500 (Central Daylight Time),21880360700.848743
Tue Apr 27 2021 20:58:00 GMT-0500 (Central Daylight Time),32641068711.015778
Tue Apr 27 2021 20:59:00 GMT-0500 (Central Daylight Time),22406640466.96602
Tue Apr 27 2021 21:00:00 GMT-0500 (Central Daylight Time),380398601.7038533
Tue Apr 27 2021 21:01:00 GMT-0500 (Central Daylight Time),425221954.41949296
Tue Apr 27 2021 21:02:00 GMT-0500 (Central Daylight Time),273368872.90073526
Tue Apr 27 2021 21:03:00 GMT-0500 (Central Daylight Time),65142883210.41
Tue Apr 27 2021 21:04:00 GMT-0500 (Central Daylight Time),21927153288.99082
Tue Apr 27 2021 21:05:00 GMT-0500 (Central Daylight Time),1613162679.9487176
Tue Apr 27 2021 21:06:00 GMT-0500 (Central Daylight Time),22747920693.437084
Tue Apr 27 2021 21:07:00 GMT-0500 (Central Daylight Time),65142883210.41
Tue Apr 27 2021 21:08:00 GMT-0500 (Central Daylight Time),21875557140.33585
Tue Apr 27 2021 21:09:00 GMT-0500 (Central Daylight Time),948668308.1773729
Tue Apr 27 2021 21:10:00 GMT-0500 (Central Daylight Time),65142883210.41
Tue Apr 27 2021 21:11:00 GMT-0500 (Central Daylight Time),21999499241.655296
Tue Apr 27 2021 21:12:00 GMT-0500 (Central Daylight Time),990165740.0658622
Tue Apr 27 2021 21:13:00 GMT-0500 (Central Daylight Time),770473468.0496435
Tue Apr 27 2021 21:14:00 GMT-0500 (Central Daylight Time),258249940.67225534
Tue Apr 27 2021 21:15:00 GMT-0500 (Central Daylight Time),258387337.33146614
Tue Apr 27 2021 21:16:00 GMT-0500 (Central Daylight Time),269976783.39325774
Tue Apr 27 2021 21:17:00 GMT-0500 (Central Daylight Time),249433899.56312308
Tue Apr 27 2021 21:18:00 GMT-0500 (Central Daylight Time),65142883210.41
Tue Apr 27 2021 21:19:00 GMT-0500 (Central Daylight Time),22451965554.28869
Tue Apr 27 2021 21:20:00 GMT-0500 (Central Daylight Time),1001690545.0908074
Tue Apr 27 2021 21:21:00 GMT-0500 (Central Daylight Time),247829430.0431704
Tue Apr 27 2021 21:22:00 GMT-0500 (Central Daylight Time),246126612.50282347
Tue Apr 27 2021 21:23:00 GMT-0500 (Central Daylight Time),65142883210.41
Tue Apr 27 2021 21:24:00 GMT-0500 (Central Daylight Time),23517624965.79381
Tue Apr 27 2021 21:25:00 GMT-0500 (Central Daylight Time),794116407.4470772
Tue Apr 27 2021 21:26:00 GMT-0500 (Central Daylight Time),271475601.1229366
Tue Apr 27 2021 21:27:00 GMT-0500 (Central Daylight Time),65142883210.41
Tue Apr 27 2021 21:28:00 GMT-0500 (Central Daylight Time),22511080626.153496
Tue Apr 27 2021 21:29:00 GMT-0500 (Central Daylight Time),251507970.91177118
Tue Apr 27 2021 21:30:00 GMT-0500 (Central Daylight Time),714543279.3589236
Tue Apr 27 2021 21:31:00 GMT-0500 (Central Daylight Time),953490707.2532759
Tue Apr 27 2021 21:32:00 GMT-0500 (Central Daylight Time),255655219.61279726
Tue Apr 27 2021 21:33:00 GMT-0500 (Central Daylight Time),21835750557.21298
Tue Apr 27 2021 21:34:00 GMT-0500 (Central Daylight Time),21909647258.93395
Tue Apr 27 2021 21:35:00 GMT-0500 (Central Daylight Time),22374349155.04642
Tue Apr 27 2021 21:36:00 GMT-0500 (Central Daylight Time),751813212.8445883
Tue Apr 27 2021 21:37:00 GMT-0500 (Central Daylight Time),780224954.5382488
Tue Apr 27 2021 21:38:00 GMT-0500 (Central Daylight Time),21946571099.415257
Tue Apr 27 2021 21:39:00 GMT-0500 (Central Daylight Time),21877837303.84072
Tue Apr 27 2021 21:40:00 GMT-0500 (Central Daylight Time),22384691143.34701
Tue Apr 27 2021 21:41:00 GMT-0500 (Central Daylight Time),32651928427.975735
Tue Apr 27 2021 21:42:00 GMT-0500 (Central Daylight Time),22742009125.19429
Tue Apr 27 2021 21:43:00 GMT-0500 (Central Daylight Time),240514560.25946978
Tue Apr 27 2021 21:44:00 GMT-0500 (Central Daylight Time),65142883210.41
Tue Apr 27 2021 21:45:00 GMT-0500 (Central Daylight Time),22271961274.422863
Tue Apr 27 2021 21:46:00 GMT-0500 (Central Daylight Time),22212997128.86855
Tue Apr 27 2021 21:47:00 GMT-0500 (Central Daylight Time),32760612260.919296
Tue Apr 27 2021 21:48:00 GMT-0500 (Central Daylight Time),22568545092.331806
Tue Apr 27 2021 21:49:00 GMT-0500 (Central Daylight Time),267516650.38648313
Tue Apr 27 2021 21:50:00 GMT-0500 (Central Daylight Time),235169189.4559447
Tue Apr 27 2021 21:51:00 GMT-0500 (Central Daylight Time),65142883210.41
Tue Apr 27 2021 21:52:00 GMT-0500 (Central Daylight Time),22641970425.09562
Tue Apr 27 2021 21:53:00 GMT-0500 (Central Daylight Time),1516474016.0316272
Tue Apr 27 2021 21:54:00 GMT-0500 (Central Daylight Time),785213576.7242222
Tue Apr 27 2021 21:55:00 GMT-0500 (Central Daylight Time),793402774.3625026
Tue Apr 27 2021 21:56:00 GMT-0500 (Central Daylight Time),297780359.94812393
Tue Apr 27 2021 21:57:00 GMT-0500 (Central Daylight Time),1161535757.1986854
Tue Apr 27 2021 21:58:00 GMT-0500 (Central Daylight Time),278070068.66014165
Tue Apr 27 2021 21:59:00 GMT-0500 (Central Daylight Time),743693917.258847
Tue Apr 27 2021 22:00:00 GMT-0500 (Central Daylight Time),746370758.6711581
Tue Apr 27 2021 22:01:00 GMT-0500 (Central Daylight Time),865579340.6465483
Tue Apr 27 2021 22:02:00 GMT-0500 (Central Daylight Time),775440614.9164237
Tue Apr 27 2021 22:03:00 GMT-0500 (Central Daylight Time),804000998.640848
Tue Apr 27 2021 22:04:00 GMT-0500 (Central Daylight Time),749501786.7882035
Tue Apr 27 2021 22:05:00 GMT-0500 (Central Daylight Time),267649801.7358057
Tue Apr 27 2021 22:06:00 GMT-0500 (Central Daylight Time),786478139.1009758
Tue Apr 27 2021 22:07:00 GMT-0500 (Central Daylight Time),757127727.2887502
Tue Apr 27 2021 22:08:00 GMT-0500 (Central Daylight Time),787525608.585069
Tue Apr 27 2021 22:09:00 GMT-0500 (Central Daylight Time),269690929.45786065
Tue Apr 27 2021 22:10:00 GMT-0500 (Central Daylight Time),238958597.9288268
Tue Apr 27 2021 22:11:00 GMT-0500 (Central Daylight Time),258355051.81080076
Tue Apr 27 2021 22:12:00 GMT-0500 (Central Daylight Time),21895013994.457066
Tue Apr 27 2021 22:13:00 GMT-0500 (Central Daylight Time),21870771406.402824
Tue Apr 27 2021 22:14:00 GMT-0500 (Central Daylight Time),22496711690.776176
Tue Apr 27 2021 22:15:00 GMT-0500 (Central Daylight Time),264246300.27774385
Tue Apr 27 2021 22:16:00 GMT-0500 (Central Daylight Time),229519858.9549554
Tue Apr 27 2021 22:17:00 GMT-0500 (Central Daylight Time),22406212825.954884
Tue Apr 27 2021 22:18:00 GMT-0500 (Central Daylight Time),21864866590.723103
Tue Apr 27 2021 22:19:00 GMT-0500 (Central Daylight Time),22472774178.051266
Tue Apr 27 2021 22:20:00 GMT-0500 (Central Daylight Time),757512877.3250704
Tue Apr 27 2021 22:21:00 GMT-0500 (Central Daylight Time),300656876.60375136
Tue Apr 27 2021 22:22:00 GMT-0500 (Central Daylight Time),302632069.0839594
Tue Apr 27 2021 22:23:00 GMT-0500 (Central Daylight Time),32655952769.114273
Tue Apr 27 2021 22:24:00 GMT-0500 (Central Daylight Time),22705920768.49171
Tue Apr 27 2021 22:25:00 GMT-0500 (Central Daylight Time),22263916771.840736
Tue Apr 27 2021 22:26:00 GMT-0500 (Central Daylight Time),21826847131.994816
Tue Apr 27 2021 22:27:00 GMT-0500 (Central Daylight Time),23618776896.249134
Tue Apr 27 2021 22:28:00 GMT-0500 (Central Daylight Time),22638600307.214443
Tue Apr 27 2021 22:29:00 GMT-0500 (Central Daylight Time),65142883210.41
Tue Apr 27 2021 22:30:00 GMT-0500 (Central Daylight Time),22467130664.72942
Tue Apr 27 2021 22:31:00 GMT-0500 (Central Daylight Time),1066544578.6571141
Tue Apr 27 2021 22:32:00 GMT-0500 (Central Daylight Time),21859012487.749645
Tue Apr 27 2021 22:33:00 GMT-0500 (Central Daylight Time),32679353130.03394
Tue Apr 27 2021 22:34:00 GMT-0500 (Central Daylight Time),22431411354.0276
Tue Apr 27 2021 22:35:00 GMT-0500 (Central Daylight Time),272883554.1924679
Tue Apr 27 2021 22:36:00 GMT-0500 (Central Daylight Time),264389257.73144045
Tue Apr 27 2021 22:37:00 GMT-0500 (Central Daylight Time),239408529.48253673
Tue Apr 27 2021 22:38:00 GMT-0500 (Central Daylight Time),65142883210.41
Tue Apr 27 2021 22:39:00 GMT-0500 (Central Daylight Time),22540452015.42606
Tue Apr 27 2021 22:40:00 GMT-0500 (Central Daylight Time),1595905079.6620593
Tue Apr 27 2021 22:41:00 GMT-0500 (Central Daylight Time),1641015328.1941366
Tue Apr 27 2021 22:42:00 GMT-0500 (Central Daylight Time),65142883210.41
Tue Apr 27 2021 22:43:00 GMT-0500 (Central Daylight Time),21929909459.629215
Tue Apr 27 2021 22:44:00 GMT-0500 (Central Daylight Time),243579453.82441443
Tue Apr 27 2021 22:45:00 GMT-0500 (Central Daylight Time),65142883210.41
Tue Apr 27 2021 22:46:00 GMT-0500 (Central Daylight Time),22534981826.720867
Tue Apr 27 2021 22:47:00 GMT-0500 (Central Daylight Time),985935609.9670566
Tue Apr 27 2021 22:48:00 GMT-0500 (Central Daylight Time),768851280.8548999
Tue Apr 27 2021 22:49:00 GMT-0500 (Central Daylight Time),247467514.12893185
Tue Apr 27 2021 22:50:00 GMT-0500 (Central Daylight Time),241770964.01347667
Tue Apr 27 2021 22:51:00 GMT-0500 (Central Daylight Time),271885622.39307547
Tue Apr 27 2021 22:52:00 GMT-0500 (Central Daylight Time),233568279.8107161
Tue Apr 27 2021 22:53:00 GMT-0500 (Central Daylight Time),1097480829.9447076
Tue Apr 27 2021 22:54:00 GMT-0500 (Central Daylight Time),65142883210.41
Tue Apr 27 2021 22:55:00 GMT-0500 (Central Daylight Time),21868802920.802776
Tue Apr 27 2021 22:56:00 GMT-0500 (Central Daylight Time),1079756939.6943293
Tue Apr 27 2021 22:57:00 GMT-0500 (Central Daylight Time),356907690.97236735
Tue Apr 27 2021 22:58:00 GMT-0500 (Central Daylight Time),946442023.3521078
Tue Apr 27 2021 22:59:00 GMT-0500 (Central Daylight Time),257683995.15038353
Tue Apr 27 2021 23:00:00 GMT-0500 (Central Daylight Time),21845877969.67549
Tue Apr 27 2021 23:01:00 GMT-0500 (Central Daylight Time),23166833607.872723
Tue Apr 27 2021 23:02:00 GMT-0500 (Central Daylight Time),22240058537.681637
Tue Apr 27 2021 23:03:00 GMT-0500 (Central Daylight Time),1673350050.2908313
Tue Apr 27 2021 23:04:00 GMT-0500 (Central Daylight Time),65142883210.41
Tue Apr 27 2021 23:05:00 GMT-0500 (Central Daylight Time),22459953616.04505
Tue Apr 27 2021 23:06:00 GMT-0500 (Central Daylight Time),756423808.208931
Tue Apr 27 2021 23:07:00 GMT-0500 (Central Daylight Time),269944587.80908847
Tue Apr 27 2021 23:08:00 GMT-0500 (Central Daylight Time),781812668.8722581
Tue Apr 27 2021 23:09:00 GMT-0500 (Central Daylight Time),788530561.0788693
Tue Apr 27 2021 23:10:00 GMT-0500 (Central Daylight Time),255923554.31665075
Tue Apr 27 2021 23:11:00 GMT-0500 (Central Daylight Time),21910644506.408375
Tue Apr 27 2021 23:12:00 GMT-0500 (Central Daylight Time),22463651106.655594
Tue Apr 27 2021 23:13:00 GMT-0500 (Central Daylight Time),22309024511.3046
Tue Apr 27 2021 23:14:00 GMT-0500 (Central Daylight Time),801868421.1850142
Tue Apr 27 2021 23:15:00 GMT-0500 (Central Daylight Time),792425832.8353887
Tue Apr 27 2021 23:16:00 GMT-0500 (Central Daylight Time),21898649228.127155
Tue Apr 27 2021 23:17:00 GMT-0500 (Central Daylight Time),21881690238.563038
Tue Apr 27 2021 23:18:00 GMT-0500 (Central Daylight Time),22438922632.0067
Tue Apr 27 2021 23:19:00 GMT-0500 (Central Daylight Time),21872442321.279987
Tue Apr 27 2021 23:20:00 GMT-0500 (Central Daylight Time),22702406341.906086
